country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kiribati,,,,,,,,,,,,,,,,,,5.5,5.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,27.6,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,1.69,,,,,,,2.35,0.82,0.78,0.76,0.76,0.81,0.83,0.96,1,0.9,,,1,1.1,1.04,1.41,,,,1.9,1.2,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,7.41,7.71,7.58,7.69,7.43,7.03,6.54,6.18,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,1.35,,,,,0.755,,,,,,,10.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,5.2,6.1,6.1,,,,,,,,,11.2,10.1,7.31,6.51,8.38,20.9,22.7,18.6,16.2,12.6,11.8,11.1,10.9,9.76
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,,,8.6,,5.02,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,28.9,,21.5,,,,,,,,,32.5,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,2.5,2.3,1.9,2,2.3,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.7,4.4,6.6,5.7,,,,,,,,,,,,,17.1,21.2,17.9,15.2,13.1,12.2,10.1,9.1,8.5
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.05,2.24,1.93,1.76,1.5,1.16,1.19,1.13,1.58,1.87,3,2.09,2.48,1.85,1.91,1.78,1.82,1.56,1.93,2.96,3.68,3.5,,3.55,4.32,4.36,3.79,3.84,4.53,5.42,5.92,6.1,6.01,5.54
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,15.6,14.8,15.3,15.8,16.3,16.5,16.9,18.3,19.4,20.1,22.1,23.6,25.8,31.9,35,33,32.5,31.9,30.5,29.5,31.7,37,36.7,36.5,35.3,34.5,33.5,31.8,31.9,31.8,31.5,29,27.6,26.7,24.4,22.7
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.3,,3.42,,1.58,,,,,3.25,,0.571,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,5.4,5.4,,,,,,,,4.94,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,2.7,3.3,,,,,,,,,,,,2.82,2.47,2.24,3.14,3.5,2.97,3.39,3.31,3.6,3.4,3.44,,,,,,,,,,2.92,3.13,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,1.58,,,,,,,,,,,,,,4.79,,6.43,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,,,10.6,,,6.04,,,,6.44,6.86,8.4,
Malta,,,,,,,,,,,,,,,,,,,,,,,,8.2,,8.4,6.9,4.8,4.3,4.1,4.4,4,4.4,5.2,4.8,4.3,5,5.8,6.1,6.3,,,,,,,,,5.57,6.51,6.7,5.97,5.72,6.47,6.1,5.51,,4.51
Marshall Islands,,,,,,,,,,,,,,,,,,,,,9.02,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,4.87,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,,15.3,,,,,,,,,,,,8.46,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,3.45,3.68,,4.6,5.6,6.1,7,8.1,,,,5.68,5.77,5.42,5.21,,4.33,4.48,,4.93,4.93,5.36,5.28,4.52,4.64
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,2.52,2.67,2.88,3.97,6.04,4.45,2.97,2.87,1.95,2.19,2.15,2.52,2.61,3.08,3.36,3.38,3.41,3.78,5.36,5.37,5.19,4.89,4.89,4.79,4.23,3.83,3.31
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,9.73,8.69,8.1,9.57,10,8.67,8.94,6.25,4.55,7.83,9.08,7.73,6.82,6.03,4.62,4.45,5.46,4.83
